# index	pos	length	nb_ions	ca
0.00000	0.00000	0.00000	0.00000	0.00000
1.00000	6.00000	1.00000	1.63783	0.03162
2.00000	9.10000	1.10000	1.98177	0.00000
-1.00000	15.20000	0.00000	0.00000	0.00000
