0.000000000000000000e+00 1.000000000000000000e+03
3.325931958705503787e-06 1.000000000000000000e+03
4.675615956185369385e-06 1.000000000000000000e+03
8.433947386580781263e-06 1.000000000000000000e+03
1.436560037543284265e-05 9.999986486486486683e+02
2.272861801136595610e-05 9.999452051938027353e+02
3.542452037897971244e-05 9.996068099244027962e+02
5.795077671960310352e-05 9.979633143408154865e+02
8.873725973090269338e-05 9.900426977735667151e+02
1.330041086630197604e-04 9.646524812913670530e+02
1.991702989341682505e-04 9.049431980085371379e+02
2.976593853750907027e-04 8.037126683644885361e+02
4.448631526453385209e-04 6.863816583133223048e+02
6.764174072725259376e-04 5.784918762900458660e+02
1.028116028814990467e-03 4.912892347402797668e+02
1.571368001146059012e-03 4.212089962600816762e+02
2.422273913883147937e-03 3.621586919925060783e+02
3.682085222882053831e-03 3.099207332133675550e+02
5.588767254911725102e-03 2.650269246707991329e+02
8.552961493771629037e-03 2.268860785869359518e+02
1.313074947152581204e-02 1.940126761604833519e+02
1.997459597534814724e-02 1.660670494876644057e+02
3.032985477915138214e-02 1.414602675608119853e+02
4.611042665990945644e-02 1.203196791906860454e+02
7.173407716130222878e-02 1.020233780321381971e+02
1.088081724967971120e-01 8.694552240941507648e+01
1.652275416471739311e-01 7.370378179728557200e+01
2.523004714168338714e-01 6.227320221724187377e+01
3.879278811669730764e-01 5.322896612604220223e+01
5.973586708223026509e-01 4.546971144290790079e+01
9.141220978075287329e-01 3.855323750981897035e+01
1.372457101409068292e+00 3.273433083172155733e+01
2.087793678372054540e+00 2.786595807875536934e+01
3.268584737890756653e+00 2.390669768642137072e+01
4.897508967183964224e+00 2.038992146579575859e+01
7.332624685340744186e+00 1.742192189028478566e+01
1.177618723891606223e+01 1.477663125536274080e+01
1.705805914694115089e+01 1.285960809944567451e+01
2.695630698679800474e+01 1.094250955454273289e+01
4.138100515022408388e+01 9.423362424540259852e+00
6.097222549412928316e+01 8.119186976237305231e+00
9.481881448246376465e+01 6.894781326751844297e+00
1.481546888537771451e+02 6.022625016485501526e+00
2.205867180382141726e+02 5.214060065084221485e+00
3.464808900259804432e+02 4.440452857392369168e+00
5.257774602386597280e+02 3.754438303778734110e+00
7.786567438072197547e+02 3.126762794410526070e+00
1.243170354927892276e+03 2.279602366470725450e+00
1.806449013577735514e+03 2.023156399410692252e+00
2.131878749846820938e+03 1.999656528309813330e+00
