# x	d(x)
2.991355466886932435e-01 3.000000000000000279e-04
3.122610040333519965e-01 1.200000000000000329e-03
3.253864613780107495e-01 3.799999999999997390e-03
3.385119187226695581e-01 1.289999999999997746e-02
3.516373760673283666e-01 2.719999999999989093e-02
3.647628334119871196e-01 4.260000000000019327e-02
3.778882907566459282e-01 6.240000000000076041e-02
3.910137481013047367e-01 7.310000000000106690e-02
4.041392054459634897e-01 7.700000000000117861e-02
4.172646627906222427e-01 8.040000000000127600e-02
4.303901201352810513e-01 6.020000000000069740e-02
4.435155774799398598e-01 4.870000000000036799e-02
4.566410348245986128e-01 4.900000000000037659e-02
4.697664921692574214e-01 5.150000000000044820e-02
4.828919495139162299e-01 5.820000000000064011e-02
4.960174068585749829e-01 6.590000000000086067e-02
5.091428642032338470e-01 7.040000000000098956e-02
5.222683215478924890e-01 7.070000000000099816e-02
5.353937788925513530e-01 5.680000000000060001e-02
5.485192362372102171e-01 3.700000000000003286e-02
5.616446935818688591e-01 2.329999999999991453e-02
5.747701509265277231e-01 1.229999999999998109e-02
5.878956082711864761e-01 8.000000000000007105e-03
6.010210656158452291e-01 2.599999999999999447e-03
6.141465229605040932e-01 1.800000000000000601e-03
6.272719803051628462e-01 1.100000000000000283e-03
6.403974376498215992e-01 9.000000000000001922e-04
6.535228949944804633e-01 4.000000000000000192e-04
6.666483523391392163e-01 0.000000000000000000e+00
6.797738096837979693e-01 3.000000000000000279e-04
